id,age,age_cat,sex,traploc,organ,THg
RF-18-CH-36,0,juvenile,M,Town of Churchill,brain,NA
RF-18-CH-37,7,adult,M,Town of Churchill,brain,127.5031636
RF-17-CH-02,0,juvenile,M,Seal River,GH,532.6510699
RF-17-CH-03,5,adult,M,Seal River,GH,2131.013387
RF-17-CH-04,7,adult,M,Goose Creek,GH,NA
RF-17-CH-12,3,adult,M,Seal River,GH,NA
RF-17-CH-13,0,juvenile,M,Button Bay,GH,2096.584806
RF-17-CH-18,9,adult,M,Southknife Lake,GH,1037.594604
RF-17-CH-20,3,adult,M,Southknife Lake,GH,NA
RF-17-CH-23,5,adult,M,Southknife Lake,GH,2641.366196
RF-18-CH-01,0,juvenile,M,Button Bay,GH,466.9641
RF-18-CH-02,0,juvenile,M,Town of Churchill,GH,2501.034595
RF-18-CH-03,8,adult,M,Town of Churchill,GH,NA
RF-18-CH-05,9,adult,M,Seal River,GH,885.58075
RF-18-CH-06,0,juvenile,M,Seal River,GH,1958.2888
RF-18-CH-07,0,juvenile,M,Twin Lakes,GH,1338.7772
RF-18-CH-08,10,adult,M,Line 25,GH,1076.6991
RF-18-CH-09,7,adult,M,Button Bay,GH,658.7313
RF-18-CH-10,8,adult,M,Line 25,GH,2595.052543
RF-18-CH-11,0,juvenile,M,Line 25,GH,411.5008
RF-18-CH-13,10,adult,M,North River,GH,1183.8178
RF-18-CH-16,5,adult,M,Twin Lakes,GH,1973.798845
RF-18-CH-19,1,adult,M,Town of Churchill,GH,2446.1525
RF-18-CH-23,10,adult,M,North River,GH,3424.0085
RF-18-CH-26,0,juvenile,M,Town of Churchill,GH,1327.614
RF-18-CH-27,8,adult,M,North River,GH,1230.1559
RF-18-CH-31,0,juvenile,M,Town of Churchill,GH,601.658
RF-18-CH-34,0,juvenile,M,Town of Churchill,GH,NA
RF-18-CH-35,5,adult,M,Town of Churchill,GH,NA
RF-18-CH-36,0,juvenile,M,Town of Churchill,GH,NA
RF-18-CH-37,7,adult,M,Town of Churchill,GH,2285.392296
